interval_m,seed,set_id,kappa,kr_hat,P32_hat
2,2,5,25.21,3.7,0.8810914650022008
1,3,1,17.0,2.567,0.8832302763117843
1,3,2,16.0,3.567,0.5913548482061617
1,3,3,11.25,2.9,0.7888077783742968
1,3,5,29.62,2.967,1.0549198974988045
0.5,3,1,18.59,2.633,0.7576052609646307
0.5,3,2,16.88,2.967,0.5875668523728236
0.5,3,3,10.27,2.967,0.8318002804031721
0.5,3,5,30.14,2.9,1.1748874128740723
6,2,1,14.93,2.9,0.9063365599558254
6,2,2,16.74,2.967,0.771664079347375
6,2,3,10.59,2.833,1.1499771447825593
6,2,5,24.65,3.633,0.9983574315648036
