seed,mode,set_id,lmin_fit,kr_hat,fit_status,adoption_status,class_l1,q90_ratio
108,window_mc,3,0.5,3.4000000000000004,ok,provisional_accepted,0.13398052799378035,0.7299133408826085
108,window_mc,3,0.75,3.0,ok,accepted,0.11170942847466508,0.7793188918364032
108,window_mc,5,0.1,3.75,ok,accepted,0.06371838552490358,0.9935672140685434
108,window_mc,5,0.2,3.75,ok,accepted,0.053180133337688146,1.0013970306102697
108,window_mc,5,0.3,3.95,ok,provisional_accepted,0.04168839446086105,0.9804935882326996
108,window_mc,5,0.5,3.6,ok,accepted,0.07815095787011148,0.8794427344306799
108,window_mc,5,0.75,3.65,ok,accepted,0.07076858055710651,0.8316796040762306
108,hybrid,1,0.1,2.75,ok,accepted,0.03998354137538687,0.8575802738000491
108,hybrid,1,0.2,2.75,ok,accepted,0.032406065637388036,0.8593390882539781
108,hybrid,1,0.3,2.75,ok,accepted,0.04165816016018205,0.8630991120158411
108,hybrid,1,0.5,2.75,ok,accepted,0.07669654703731268,0.8809235607276765
108,hybrid,1,0.75,2.7,ok,accepted,0.11173932466622175,0.9404530033327212
108,hybrid,2,0.1,2.6,ok,provisional_accepted,0.14196188770942586,0.6986805238159514
108,hybrid,2,0.2,2.6,ok,provisional_accepted,0.09654309382175694,0.6972511201220205
108,hybrid,2,0.3,2.6,ok,provisional_accepted,0.08145001713274952,0.7021513744472029
108,hybrid,2,0.5,2.6,ok,provisional_accepted,0.10526751077098821,0.7075793851778175
