interval_m,seed,set_id,kappa,kr_hat,P32_hat
3,15,3,11.02,2.567,1.0574444044607696
3,15,5,25.82,3.233,0.9103667298300956
1,16,1,15.02,2.967,0.7424935923469522
1,16,2,14.0,2.833,0.9326731247787551
1,16,3,10.94,3.5,0.6162406217969272
1,16,5,22.93,3.767,0.8041456687569112
2,16,1,15.3,2.833,0.8457708171165996
2,16,2,16.78,2.9,0.7211565632647725
2,16,3,11.21,2.9,0.780282309310489
2,16,5,23.49,3.767,0.7197908366551443
0.5,16,1,16.41,2.967,0.744002979828113
0.5,16,2,15.41,2.767,1.0971172225217836
0.5,16,3,12.93,3.567,0.6837711389170481
0.5,16,5,21.87,3.633,0.7963411474629316
3,16,1,15.62,2.7,0.8371940758284115
3,16,2,14.95,2.833,0.6509663879513201
3,16,3,11.04,2.833,0.8924287555604746
3,16,5,21.89,3.633,0.7550392093475362
6,16,1,14.65,2.7,0.9147310797792676
6,16,2,18.52,2.567,0.7251410189222923
6,16,3,13.45,2.967,0.9542095222368928
6,16,5,22.23,3.567,0.7372765455287934
0.5,17,1,16.0,2.367,0.9071246107504656
0.5,17,2,19.26,3.433,0.8004709895904213
0.5,17,3,13.96,2.633,1.3327918934316958
0.5,17,5,23.26,3.767,1.0111952666309687
3,17,1,13.41,2.433,0.7489231673365672
3,17,2,18.67,2.967,0.5565235966219672
3,17,3,11.15,2.433,1.0544922924086102
3,17,5,25.3,3.633,0.7035486524657275
2,17,1,14.31,2.433,0.8301601584280496
2,17,2,18.36,2.967,0.5084549655374475
2,17,3,11.75,2.7,1.1156218073482893
2,17,5,24.03,3.833,0.8114800582912742
1,17,1,15.15,2.5,0.8592679843314213
1,17,2,20.94,2.967,0.6790126561342946
1,17,3,12.27,2.7,1.2155696464359824
1,17,5,21.85,3.9,0.9935791236449112
6,17,1,14.54,2.567,0.8320453969649694
6,17,2,15.22,3.233,0.6250474319412712
6,17,3,11.15,2.433,1.1767918380138938
6,17,5,25.54,3.233,0.822920947593229
0.5,18,1,14.16,2.767,0.7346706922209566
0.5,18,2,19.76,2.3,0.8651351957585575
0.5,18,3,11.46,2.833,0.8954282437349903
0.5,18,5,23.09,3.033,1.1702729915116334
1,18,1,13.73,2.7,0.8260595186644482
1,18,2,19.94,2.367,0.9170007987249658
1,18,3,12.64,2.9,0.8617724877406054
1,18,5,22.21,3.167,1.0565608931185235
3,18,1,13.72,2.767,0.783344172821347
3,18,2,24.8,2.5,0.9051441522296592
3,18,3,13.86,3.1,0.8734239552221451
3,18,5,26.38,3.1,0.9219383550617104
6,18,1,13.36,2.9,0.765923219777872
6,18,2,19.54,2.5,0.8867027804003179
6,18,3,10.85,3.1,0.7196512223090755
6,18,5,22.85,3.167,0.9455013727747985
2,18,1,13.58,2.833,0.8950666490495817
2,18,2,19.1,2.433,1.1297861106661837
2,18,3,11.84,3.1,0.8235903834510102
2,18,5,26.2,3.1,1.0004424723900551
0.5,19,1,14.87,3.167,0.8448899767423901
0.5,19,2,18.86,4.3,0.48115798600243
0.5,19,3,10.49,3.633,0.6544415887313426
0.5,19,5,25.6,3.3,0.9364127840337773
2,19,1,13.59,2.967,0.7687357344250936
2,19,2,17.33,3.033,0.9195459499421238
2,19,3,10.86,3.367,0.7956043683645295
2,19,5,27.02,3.433,0.823565615558182
1,19,1,13.58,2.967,0.8674564972312496
1,19,2,20.15,3.167,0.6978623207601558
1,19,3,10.85,3.433,0.7259229584813255
1,19,5,24.88,3.5,0.8520716148911915
0.5,20,1,16.81,2.767,0.6597099512282331
0.5,20,2,17.43,2.833,0.8838936215885395
0.5,20,3,13.8,2.433,1.0099599240094639
0.5,20,5,20.2,3.7,1.0037071080216626
1,20,1,14.52,2.9,0.6987759950935758
1,20,2,15.9,2.633,0.9179233607945175
1,20,3,12.79,2.367,0.9384316299119358
1,20,5,20.95,3.767,0.9421678232259109
3,19,1,13.56,2.9,0.8124266127997014
3,19,2,16.77,3.1,0.9073588223480374
3,19,3,10.67,3.367,0.7651324287499838
3,19,5,22.89,3.433,0.8210012577504343
6,19,1,12.81,2.967,0.7185592346754592
6,19,2,13.89,3.567,0.812231876781396
6,19,3,11.49,3.033,0.7593356685223396
6,19,5,24.95,3.367,0.8312721766371665
2,20,1,13.78,3.033,0.6637096116397954
2,20,2,13.97,2.5,1.0398116467743823
2,20,3,14.32,2.567,1.0340578220879462
2,20,5,22.73,3.5,0.8113828483248477
3,20,1,13.6,3.033,0.6527959482983752
3,20,2,13.86,2.367,0.9726930236819694
3,20,3,13.29,2.633,0.9215231963629983
3,20,5,26.97,3.633,0.679105032418567
6,20,1,13.91,2.7,0.8529950278489137
6,20,2,17.38,2.7,1.0647422642277835
6,20,3,12.59,2.633,1.0525573818889276
6,20,5,24.56,3.367,0.7679032570118538
