angle_deg,seed,set_id,kappa,kr_hat,P32_hat
0,9,1,13.92,2.9,0.8002424977800215
0,9,2,14.81,2.633,0.9275469569309098
0,9,3,13.26,3.1,0.774751305191011
0,9,5,24.73,3.367,1.027798741195897
180,8,1,15.41,2.7,0.9199231756114606
180,8,2,19.22,2.767,0.8233828839598882
180,8,3,13.61,2.7,0.8643378857264872
180,8,5,26.18,3.233,0.8737087006288913
24,9,1,13.93,3.033,0.771878510963468
24,9,2,18.09,2.833,0.9525518189879438
24,9,3,11.69,3.567,0.6374952506468733
24,9,5,24.32,2.9,1.0481367484730006
72,9,1,15.1,3.5,0.5638559941721053
72,9,2,19.66,2.7,0.9777577007622756
72,9,3,9.03,3.1,0.7883511885776222
72,9,5,23.23,2.9,1.114996282897483
60,9,1,14.27,3.167,0.6786280107669486
60,9,2,17.97,2.7,1.0328001132268156
60,9,3,8.34,3.1,0.7498016254512672
60,9,5,24.15,3.033,1.0587709271763193
84,9,1,15.41,3.3,0.5464582175389836
84,9,2,21.3,2.633,0.9414458082290365
84,9,3,10.14,2.9,0.8260805153275994
84,9,5,22.74,2.967,1.1218005774938715
168,8,1,13.73,2.7,0.8781064410438356
168,8,2,14.3,2.5,0.8916598962479366
168,8,3,15.45,2.7,0.8647380272174883
168,8,5,24.46,3.233,1.0070217479879455
12,9,1,14.18,2.967,0.798489695658491
12,9,2,18.24,2.767,0.9830430458980618
12,9,3,11.85,3.433,0.6816512307641656
12,9,5,23.7,2.967,1.0978796774126252
48,9,1,14.0,3.033,0.7035135818150361
48,9,2,17.4,2.767,1.0142105898354739
48,9,3,8.47,3.367,0.6447943050273387
48,9,5,22.31,2.9,1.1006259491776584
36,9,1,13.75,3.033,0.7137406211160121
36,9,2,18.47,2.767,1.0039673749306124
36,9,3,9.96,3.3,0.5914720808140727
36,9,5,24.46,2.9,1.0950645690393952
168,9,1,14.86,2.767,0.7137095941847178
168,9,2,16.55,2.5,0.8411411731421694
168,9,3,12.22,2.9,0.8765713922422792
168,9,5,22.24,3.233,1.0527744413272155
12,10,1,13.48,3.433,0.6056083040845561
12,10,2,18.85,2.833,0.845347212652016
12,10,3,12.52,3.567,0.7517502336560363
12,10,5,22.91,3.3,0.7758087706131386
120,9,1,10.81,3.233,0.4843465993912426
120,9,2,23.73,2.5,0.9823719639407977
120,9,3,11.61,3.3,0.8824079185450895
120,9,5,20.19,3.033,1.0836800673382756
96,9,1,14.61,3.633,0.5504465386335593
96,9,2,21.81,2.567,0.9033823845541824
96,9,3,10.59,3.167,0.830830612393926
96,9,5,21.29,2.833,1.1387616835106573
180,9,1,14.18,2.833,0.7299042128470669
180,9,2,17.81,2.433,1.0675169589489137
180,9,3,12.63,2.833,0.8501195777298257
180,9,5,22.3,3.167,1.0202759653303553
108,9,1,10.76,3.7,0.5600142472598824
108,9,2,23.11,2.5,0.890538969405505
108,9,3,11.51,3.033,0.8291264620273645
108,9,5,21.12,3.033,1.172452590055612
132,9,1,14.6,2.967,0.6405810875805217
132,9,2,24.46,2.5,0.973571975554661
132,9,3,12.04,3.167,0.8694695755940423
132,9,5,21.56,3.033,1.0597579156986436
144,9,1,14.72,2.9,0.6850751435723907
144,9,2,24.1,2.5,1.008044773168711
144,9,3,12.14,3.033,0.8788513337581044
144,9,5,21.33,3.1,1.059427088169204
0,10,1,12.91,3.433,0.6394349188272248
0,10,2,15.01,2.633,1.0282420357094082
0,10,3,13.23,2.967,0.7409105968504817
0,10,5,23.78,3.633,0.8566018518620966
156,9,1,13.8,3.1,0.7290313631190432
156,9,2,21.34,2.3,0.879236210387463
156,9,3,12.05,3.1,0.8619803021495436
156,9,5,22.25,3.167,1.0978294495403023
36,10,1,12.85,3.233,0.5709007304935332
36,10,2,20.2,2.767,0.9015576264070704
36,10,3,10.0,3.233,0.7401467192259336
36,10,5,22.85,3.567,0.8414275987019671
72,10,1,12.95,3.433,0.5845421138884482
72,10,2,18.96,3.033,0.9124232656525351
