trace_id,face_id,set_id,x_face_nominal,x_mid_rough,x_span,rough_offset_p0,rough_offset_p1,rough_offset_mid,p0_x,p0_y,p0_z,p1_x,p1_y,p1_z,length_yz,length_3d,length_ratio_3d_to_yz,theta_yz_deg,valid_length,valid_x_tolerance,confidence,parent_fracture_id,x_face,normal_x,normal_y,normal_z,rough_length_warning,censoring_class,is_p0_on_boundary,is_p1_on_boundary,distance_p0_to_boundary,distance_p1_to_boundary
15,1,1,-0.033515554,-0.033515553499999996,0.030534007,-0.015267002999999994,0.015267004000000004,5.00000006675716e-10,-0.048782557,4.4846077,4.75,-0.01824855,4.283554,3.1,1.6622041361648965,1.6624845610913703,1.0001687066710836,83.0527160060561,True,True,1.0,579500,-0.033515554,-0.4577949,0.8814328,-0.11619001,False,0,False,False,0.47613892993869955,1.1893041194916665
16,1,1,-0.02740119,-0.027401191249999998,0.0409863275,0.0204931625,-0.020493165,-1.2499999993420552e-09,-0.0069080275,4.532534,5.55,-0.047894355,4.7186904,4.9,0.6761317957772428,0.6773729285282196,1.0018356373102526,105.98141940497004,True,True,1.0,630053,-0.02740119,-0.67357033,0.6980965,0.24282569,False,1,True,False,0.0075773127224844005,0.20217950603514376
17,1,1,0.09424085,0.094240852,0.015070096000000005,-0.007535046000000004,0.0075350500000000015,1.9999999989472883e-09,0.086705804,-0.35004053,7.9,0.1017759,-0.595403,5.55,2.36277437384201,2.3628224329132212,1.0000203401017647,84.03936981713662,True,True,1.0,718924,0.09424085,-0.66835153,0.7392416,-0.0826321,False,1,True,False,0.029509429768455386,2.343274636468351
18,1,1,0.015633235,0.01563323325,0.0377416375,0.018870817,-0.0188708205,-1.7499999990788773e-09,0.034504052,-1.3728092,3.35,-0.0032375855,-1.163384,2.35,1.0216941393563144,1.0223909944811824,1.0006820584537237,101.82823289106717,True,True,1.0,723371,0.015633235,0.15958485,0.96741515,0.196572,False,0,False,False,3.35,2.35
19,1,2,0.0043522697,0.00435227,0.045513488000000005,0.0227567443,-0.022756743700000002,2.999999996686209e-10,0.027109014,-1.8796257,0.05,-0.018404474,-2.0451653,1.65,1.6085407545872623,1.6091845253910708,1.0004002203873124,95.90693329419597,True,True,1.0,768884,0.0043522697,0.9161036,-0.4006487,-0.015325139,False,1,True,False,0.05,1.65
20,1,2,-0.0030492977,-0.0030492977,0.0023413206000000002,0.0011706603000000001,-0.0011706603000000001,0.0,-0.0018786374,-4.195237,0.024980115,-0.004219958,-4.1848125,0.05,0.027104701541674027,0.027205635956823553,1.0037238711149186,67.38101718561778,True,True,1.0,908254,-0.0030492977,0.9819792,-0.16517328,0.091840066,False,2,True,True,0.024980115,0.05
21,1,2,-0.004883147,-0.0048831467,0.0057219786,0.0028609896,-0.0028609890000000004,2.999999996686209e-10,-0.0020221574,-1.0452373,2.3885338,-0.007744136,-2.5452373,4.3692503,2.484600139533976,2.4846067283196653,1.0000026518495209,127.13670930858413,True,True,1.0,908511,-0.004883147,0.88675904,-0.37038204,-0.27654204,False,0,False,False,2.3885338,2.3173130093094594
22,1,2,0.011631376,0.0116313765,0.022170221,0.011085111,-0.01108511,4.999999997368221e-10,0.022716487,3.7547626,0.046191365,0.000546266,4.4778423,0.8,1.0445437811564688,1.044779033792238,1.0002252204646787,46.19195489699306,True,True,1.0,966653,0.011631376,0.9679401,-0.1660321,0.18848176,False,1,True,False,0.046191365,0.7851379015995748
23,1,2,-0.0004548605,-0.0004548607500000001,0.0317049585,0.015852479,-0.0158524795,-2.5000000008525147e-10,0.0153976185,0.8547627,4.9256454,-0.01630734,2.4137275,6.1,1.9517889163995679,1.9520464078944657,1.0001319258925667,36.990396275148974,True,True,1.0,999915,-0.0004548605,0.90403694,-0.24498563,0.35028452,False,0,False,False,2.875309947938931,1.1216523915668608
24,1,2,0.097628176,0.09762818000000001,0.044092019999999996,-0.022046005999999993,0.022046014000000003,4.0000000117723644e-09,0.07558217,0.75476265,0.94183946,0.11967419,1.5047626,0.84615195,0.7560793771622148,0.7573639355010794,1.0016989728561119,172.72929209889142,True,True,1.0,1100185,0.097628176,0.99146384,-0.043788627,0.12280896,False,0,False,False,0.94183946,0.84615195
25,1,2,0.11484815,0.114848148,0.02471188399999999,0.012355939999999996,-0.012355943999999994,-1.9999999989472883e-09,0.12720409,-0.82870764,6.75,0.102492206,-0.7134198,7.85,1.1060249934119324,1.1063010274164506,1.000249573026073,84.01683755654913,True,True,1.0,1127462,0.11484815,0.93511504,-0.34919587,0.060183536,False,1,False,True,1.1246396442663715,0.04649467174882009
