trace_id,fracture_id,set_id,face_id,face_x_m,p0_x,p0_y,p0_z,p1_x,p1_y,p1_z,observed_length_m,censoring_class,radius_m,nx,ny,nz
109,9790703,4,1,0.0000,0.000000,0.261657,-4.000000,0.000000,1.003778,2.633566,6.674949,1,24.859388,-0.378227,0.919974,-0.102921
110,9802243,4,1,0.0000,0.000000,-2.379954,-4.000000,0.000000,4.152716,2.055448,8.907538,2,26.663315,-0.155407,0.671552,-0.724477
111,9817059,4,1,0.0000,0.000000,0.059441,-2.007993,0.000000,3.497969,1.349889,4.806126,0,6.264262,0.040003,0.698108,-0.714874
112,9846541,5,1,0.0000,0.000000,-4.822379,1.117940,0.000000,-4.137242,0.404748,0.988967,1,0.728496,-0.693793,-0.519352,-0.498923
113,10242563,5,1,0.0000,0.000000,1.270639,1.466004,0.000000,2.094529,0.498918,1.270452,0,0.701608,-0.863382,-0.384071,-0.327201
114,10272301,5,1,0.0000,0.000000,2.639040,-1.518595,0.000000,3.466717,-2.032739,0.974367,0,0.513082,-0.882063,-0.248601,-0.400202
115,10862230,5,1,0.0000,0.000000,4.387222,-3.569718,0.000000,4.462699,-4.000000,0.436852,1,0.850613,-0.799443,-0.591708,-0.103793
116,10891040,5,1,0.0000,0.000000,1.007148,3.549973,0.000000,1.463698,2.757746,0.914363,0,0.513810,-0.696608,-0.621617,-0.358230
117,10895527,5,1,0.0000,0.000000,5.437945,-1.522881,0.000000,5.535598,-1.672099,0.178332,1,0.730911,-0.838400,-0.456072,-0.298469
118,11048212,5,1,0.0000,0.000000,3.006577,1.187795,0.000000,4.328612,0.459677,1.509282,0,0.999724,-0.538122,-0.406621,-0.738298
119,11199653,5,1,0.0000,0.000000,-5.486427,-2.330489,0.000000,-4.575197,-2.707928,0.986307,1,0.623698,-0.766100,-0.245956,-0.593798
120,11325124,5,1,0.0000,0.000000,0.069244,1.931982,0.000000,1.007632,1.613618,0.990923,0,0.505273,-0.827523,-0.180377,-0.531667
121,11475465,5,1,0.0000,0.000000,-0.399233,3.925171,0.000000,1.781672,1.894613,2.979851,1,2.157839,-0.488044,-0.594764,-0.638802
122,11477465,5,1,0.0000,0.000000,-3.122823,2.115077,0.000000,-2.734761,1.645828,0.608923,0,0.543132,-0.676994,-0.567169,-0.469040
123,11698618,5,1,0.0000,0.000000,0.244560,-1.904329,0.000000,0.749145,-2.920292,1.134366,0,0.724158,-0.568265,-0.736958,-0.366015
124,11736394,5,1,0.0000,0.000000,-2.161920,2.519670,0.000000,-1.701946,2.157632,0.585361,0,0.555053,-0.857804,-0.317888,-0.403881
125,11749118,5,1,0.0000,0.000000,3.934493,-1.866263,0.000000,4.383199,-3.039486,1.256101,0,0.656889,-0.516950,-0.799536,-0.305787
126,11858311,5,1,0.0000,0.000000,-2.606270,-0.870037,0.000000,-1.974127,-0.978386,0.641361,0,0.535028,-0.843015,-0.090869,-0.530158
127,11912343,5,1,0.0000,0.000000,2.244104,1.572358,0.000000,3.158038,0.593123,1.339469,0,0.715594,-0.843636,-0.392519,-0.366343
128,12121154,5,1,0.0000,0.000000,3.099573,-2.411565,0.000000,4.219372,-2.848641,1.202076,0,0.821980,-0.641788,-0.278840,-0.714393
129,12276860,5,1,0.0000,0.000000,-1.490877,1.988673,0.000000,-0.981348,1.143092,0.987232,0,0.539830,-0.759691,-0.556980,-0.335624
130,12828884,5,1,0.0000,0.000000,0.139581,0.393608,0.000000,0.638269,-0.552239,1.069260,0,0.876834,-0.792053,-0.539994,-0.284707
