trace_id,face_id,set_id,x_face_nominal,x_mid_rough,x_span,rough_offset_p0,rough_offset_p1,rough_offset_mid,p0_x,p0_y,p0_z,p1_x,p1_y,p1_z,length_yz,length_3d,length_ratio_3d_to_yz,theta_yz_deg,valid_length,valid_x_tolerance,confidence,parent_fracture_id,dx,x_face,normal_x,normal_y,normal_z,rough_length_warning,censoring_class,is_p0_on_boundary,is_p1_on_boundary,distance_p0_to_boundary,distance_p1_to_boundary
51,1,4,6.0,6.0,0.0,0.0,0.0,0.0,6.0,-0.9233880043029784,2.4358043670654297,6.0,4.197504810296239,6.008045191232303,6.243752695651736,6.243752695651736,1.0,34.89892011699285,True,True,1.0,3942815,0.0,6.0,-0.0499457754194736,0.5714163780212402,-0.8191390037536621,False,1,False,True,2.4358043670654297,1.2560739669470201e-15
52,1,4,6.0,6.0,0.0,0.0,0.0,0.0,6.0,-4.327327781530313,5.870645757198166,6.0,-2.4308738708496094,6.30836820602417,1.9463140490533297,1.9463140490533297,1.0,12.996889691440249,True,True,1.0,3945818,0.0,6.0,0.2939684092998504,0.2149610966444015,-0.931329309940338,False,1,True,False,8.881784197001252e-16,0.9435012738536409
53,1,4,6.0,6.0,0.0,0.0,0.0,0.0,6.0,1.588623046875,3.1450672149658203,6.0,4.591358780045345,5.473395159864257,3.799675368008829,3.799675368008829,1.0,37.7900792174807,True,True,1.0,3949402,0.0,6.0,0.0869186446070671,0.6104511618614197,-0.7872703075408936,False,1,False,True,3.1450672149658203,1.2560739669470201e-15
54,1,4,6.0,6.0,0.0,0.0,0.0,0.0,6.0,-0.0051926288602039,0.0,6.0,3.1479601860046387,6.189647674560547,6.9465179053309045,6.9465179053309045,1.0,63.004631416937364,True,True,1.0,3964077,0.0,6.0,0.0145775685086846,0.8909485340118408,-0.4538702368736267,False,1,True,False,9.627715291671279e-17,0.6150739036676547
55,1,4,6.0,6.0,0.0,0.0,0.0,0.0,6.0,-5.518699991816943,2.68977076562233,6.0,-4.700739860534668,3.224355697631836,0.9771590586485521,0.9771590586485521,1.0,33.166971305718185,True,True,1.0,3967207,0.0,6.0,-0.2763610184192657,0.5257741212844849,-0.8044788241386414,False,1,True,False,1.7763568394002505e-15,0.7549545833323719
56,1,4,6.0,6.0,0.0,0.0,0.0,0.0,6.0,3.2769353705054147,-8.881784197001252e-16,6.0,5.517501570527054,1.908322757291546,2.9430991561067428,2.9430991561067428,1.0,40.42151856061292,True,True,1.0,3973543,0.0,6.0,0.2034173011779785,0.6348490715026855,-0.745377779006958,False,2,True,True,1.2560739669470201e-15,1.831026719408895e-15
57,1,4,6.0,6.0,0.0,0.0,0.0,0.0,6.0,-3.4066845624618214,0.0,6.0,-2.921808242797852,0.1476104259490966,0.506847001786288,0.506847001786288,1.0,16.931770995643443,True,True,1.0,3980593,0.0,6.0,0.4447323381900787,0.2608465254306793,-0.8568385243415833,False,1,True,False,0.0,0.1476104259490966
58,1,4,6.0,6.0,0.0,0.0,0.0,0.0,6.0,-3.9598467962658352,6.259572916341746,6.0,2.904587736281181,7.131008325899035,6.919527521778799,6.919527521778799,1.0,7.234960303795152,True,True,1.0,3992991,0.0,6.0,-0.3026297986507416,0.1200330778956413,-0.9455195665359496,False,2,True,True,0.0,9.930136612989092e-16
59,1,4,6.0,6.0,0.0,0.0,0.0,0.0,6.0,-0.4648580181938473,0.0,6.0,4.40081286299994,5.766574687594847,7.545073674372355,7.545073674372355,1.0,49.84328366286194,True,True,1.0,4000087,0.0,6.0,0.039077028632164,0.7636996507644653,-0.6443879008293152,False,2,True,True,4.440892098500626e-16,1.9860273225978185e-15
60,1,4,6.0,6.0,0.0,0.0,0.0,0.0,6.0,-5.312282681070286,0.8197355799792829,6.0,5.319590019831868,3.909742359823,11.0718046870268,11.0718046870268,1.0,16.20577560801019,True,True,1.0,4002460,0.0,6.0,0.3861214816570282,0.2574440836906433,-0.885794997215271,False,2,True,True,1.1102230246251565e-16,2.7012892057857038e-15
61,1,4,6.0,6.0,0.0,0.0,0.0,0.0,6.0,-2.617898941040039,0.4401812553405761,6.0,0.2204307946738279,7.941381283512341,8.02023176418747,8.02023176418747,1.0,69.27418834850131,True,True,1.0,4007496,0.0,6.0,0.3179517984390259,0.8867498636245728,-0.3355314135551452,False,1,False,True,0.4401812553405761,2.7755575615628914e-17
62,1,4,6.0,6.0,0.0,0.0,0.0,0.0,6.0,-2.55333455833805,-4.440892098500626e-16,6.0,1.8306385233032716,7.638681080810137,8.807307683672828,8.807307683672828,1.0,60.14772978046866,True,True,1.0,4018219,0.0,6.0,0.4300528764724731,0.7830122113227844,-0.4493844509124756,False,2,True,True,4.440892098500626e-16,2.220446049250313e-16
63,1,4,6.0,6.0,0.0,0.0,0.0,0.0,6.0,-1.0938516855239868,3.5548226833343506,6.0,1.809664368629456,4.979800701141357,3.234341946665498,3.234341946665498,1.0,26.140728360077023,True,True,1.0,4029604,0.0,6.0,0.1446974873542785,0.4359407424926758,-0.8882670402526855,False,0,False,False,3.5548226833343506,2.38217917173305
64,1,4,6.0,6.0,0.0,0.0,0.0,0.0,6.0,0.5903168753998624,-8.881784197001252e-16,6.0,2.5492095947265625,1.4596490859985352,2.4429154999892067,2.4429154999892067,1.0,36.69126430773281,True,True,1.0,4032961,0.0,6.0,-0.1266456991434097,0.5926917791366577,-0.79541015625,False,1,True,False,8.881784197001252e-16,1.4596490859985352
65,1,4,6.0,6.0,0.0,0.0,0.0,0.0,6.0,-5.305967639565511,0.8008440683226274,6.0,-2.3124303817749023,2.2410237789154053,3.3219546824999906,3.3219546824999906,1.0,25.692035345014936,True,True,1.0,4037148,0.0,6.0,-0.0638054683804512,0.4326504468917846,-0.8993011116981506,False,1,True,False,9.930136612989092e-16,2.2410237789154053
66,1,4,6.0,6.0,0.0,0.0,0.0,0.0,6.0,-3.1335151584284078,6.963070982708672,6.0,2.9853324964729424,7.0717753149475255,6.119813171636798,6.119813171636798,1.0,1.0177805828750428,True,True,1.0,4068000,0.0,6.0,-0.1404237151145935,0.017586663365364,-0.9899352788925172,False,2,True,True,0.0,9.930136612989092e-16
67,1,4,6.0,6.0,0.0,0.0,0.0,0.0,6.0,2.94900131225586,2.491211414337158,6.0,5.074609130670462,4.575982231166643,2.9773273176473496,2.9773273176473496,1.0,44.44429832200874,True,True,1.0,4075733,0.0,6.0,-0.0169336721301078,0.7001150846481323,-0.7138291597366333,False,1,False,True,2.491211414337158,0.0
68,1,4,6.0,6.0,0.0,0.0,0.0,0.0,6.0,-5.469086112830116,1.536241776470498,6.0,5.062722957050511,4.604191950057627,10.969563371075129,10.969563371075129,1.0,16.241012871986637,True,True,1.0,4078059,0.0,6.0,0.5304339528083801,0.2370907515287399,-0.813896656036377,False,2,True,True,1.7763568394002505e-15,1.9860273225978185e-15
69,1,4,6.0,6.0,0.0,0.0,0.0,0.0,6.0,3.2119102478027344,1.725865602493286,6.0,5.496782277154509,1.7490914835063704,2.2849900726399075,2.2849900726399075,1.0,0.5823954727396675,True,True,1.0,4078466,0.0,6.0,-0.0037835896946489,0.0101644722744822,-0.9999411702156068,False,1,False,True,1.725865602493286,0.0
