trace_id,face_id,x_face,p0_x,p0_y,p0_z,p1_x,p1_y,p1_z,set_id,parent_fracture_id
82,1,-0.0067056445,-0.03136653,3.8047626,3.355534,0.01795524,-0.6452373,0.032419536,4,4032961
83,1,0.08556631,0.114081785,3.0047626,1.0685434,0.057050843,1.5547627,0.012024249,4,4034215
84,1,0.08118227,0.09000173,-2.9452374,2.3558896,0.07236281,-5.3952374,1.1785327,4,4037148
85,1,0.046026867,0.016151134,5.4547625,3.2899232,0.0759026,1.8547627,0.006095045,4,4038155
86,1,0.1215369,0.097956575,3.5717604,6.6,0.14511724,2.70326,1.5,4,4058786
87,1,0.068207294,0.09552264,2.7810884,7.2,0.040891938,-2.297341,3.45,4,4059071
88,1,-0.043793224,-0.043557703,-3.3257308,5.0,-0.044028744,-5.448612,3.2,4,4065929
89,1,0.03622536,-0.0029304735,5.3547626,3.5631335,0.07538119,1.2351463,0.5,4,4073654
90,1,0.06243494,-0.04852713,5.0047626,4.650963,0.173397,1.7464825,1.45,4,4075733
91,1,0.04463233,-0.005414902,5.267453,0.75,0.09467956,2.5047626,0.010687698,4,4078059
92,1,0.12267247,0.07281915,5.4547625,1.7710899,0.17252578,2.1047628,1.7366648,4,4078466
93,1,-0.009847567,-0.0467797,-1.7510191,0.65,0.027084565,-2.3452373,0.048672616,4,4080215
94,1,0.027374437,0.040908437,4.1547627,6.0199194,0.013840437,0.84150624,4.7,4,4095904
95,1,0.09406969,0.101246856,2.2547626,0.20293497,0.08689252,2.1047628,0.0036169307,4,4110884
96,1,0.019111842,0.02463304,5.4547625,3.1161597,0.013590644,-3.4952374,3.7470496,4,4114882
97,1,0.021822847,-0.027115311,5.2676706,4.0,0.07076101,1.8047627,0.0021837372,4,4114994
98,1,-0.039932977,-0.007026873,1.1547626,4.981936,-0.07283908,-5.3452373,3.7104752,4,4127457
99,1,0.08161863,0.080672294,1.9547627,0.044141907,0.08256496,1.8047627,0.2012807,5,4289339
100,1,0.05459795,0.055226132,-1.2452374,4.6927333,0.05396977,-1.8104044,6.15,5,4364750
101,1,0.05790408,0.100525394,-1.3294339,6.6,0.015282764,-2.2068114,7.45,5,4441056
102,1,0.061146136,0.05427084,1.4547627,0.021180753,0.06802143,0.8137113,0.75,5,4579399
103,1,0.012712353,0.039256077,-5.0952373,2.1499095,-0.013831373,-5.4952374,2.653709,5,4614872
104,1,0.050914902,0.014687309,0.50476265,7.8873806,0.08714249,-1.3452374,7.634114,5,4654766
105,1,0.013295293,0.06073506,-4.6078005,1.65,-0.034144476,-5.4952374,3.0215037,5,4693865
106,1,-0.012619217,-0.013375795,3.6547627,5.742145,-0.011862638,2.7547626,6.129144,5,4695416
107,1,0.108788304,0.16883656,2.273243,1.55,0.048740048,0.24240603,4.45,5,4763226
108,2,3.0210805,3.0547144,3.6850386,6.5,2.9874468,3.2031639,3.95,1,67239
109,2,3.0608342,3.0494268,-2.3735332,7.4,3.0722415,-3.9952374,5.5866413,1,154119
110,2,3.1600595,3.1831546,-0.0092461975,5.35,3.1369646,0.016692957,4.15,1,171406
111,2,3.0067043,2.9732769,3.7010899,3.3,3.0401316,4.0047626,1.0470207,1,229094
112,2,2.9801993,3.1089525,-0.8357217,3.95,2.8514464,-1.2198225,1.1,1,249218
113,2,3.083633,3.0898833,3.0403564,6.35,3.0773823,2.0394402,4.15,1,277291
114,2,2.9812229,2.979621,-3.6166327,3.4,2.9828248,-3.982307,0.1,1,364605
115,2,2.9085238,2.9561281,-0.57570565,2.0,2.8609195,-0.923609,0.05,1,438300
116,2,3.0940194,3.0841367,-1.7885379,7.0,3.1039019,-1.8557483,6.75,1,463451
117,2,3.0413957,3.0890095,-3.4614568,6.35,2.993782,-3.7350023,3.65,1,681948
118,2,3.1544106,3.1234434,-0.43433237,6.25,3.1853778,0.42090315,4.7,1,692657
119,2,3.1398473,3.1597927,-1.6549712,5.65,3.1199021,-1.2339593,4.2,1,748325
120,2,2.999188,3.0351892,-3.840562,4.25,2.963187,-4.9952374,4.730834,2,801498
121,2,3.0543952,3.0725543,-0.83738786,6.9,3.036236,-1.6452373,7.6874366,2,998760
122,2,2.9660387,2.9765036,-4.945237,0.884841,2.9555738,-5.3952374,1.112888,2,1144174
123,2,3.1322184,3.162835,-1.3164053,5.55,3.1016018,-1.6998075,6.75,2,1149481
124,2,3.1175303,3.1333237,3.8047626,0.018365184,3.1017368,4.054763,0.26208687,2,1260465
125,2,3.1179154,3.1062913,2.170298,4.95,3.1295393,2.033279,6.35,2,1268723
126,2,2.9976761,2.9856021,4.804763,2.0366855,3.0097501,2.523083,3.65,2,1326357
127,2,3.0334427,3.065541,2.7547626,1.4936436,3.0013444,5.1547627,4.2532516,2,1382987
128,2,3.1188715,3.1582801,-1.2452374,4.919721,3.0794628,-2.4452374,4.2320805,2,1551279
129,2,3.021725,3.0282824,4.3913884,4.75,3.0151675,4.7047625,5.2867236,2,1921881
130,2,2.9362228,2.948369,-4.23365,2.4,2.9240763,-5.2452374,4.1635075,2,1950811
131,2,2.9315634,2.9424307,-3.4452374,1.5666478,2.9206958,-5.2750196,4.0,2,2022311
132,2,3.1087265,3.1494365,2.2859173,0.05,3.0680163,1.7547626,1.6320863,2,2134256
133,2,2.9116485,2.9135945,-5.232082,3.6,2.9097025,-5.3452373,3.765841,2,2389227
134,2,2.9639957,2.8587542,-1.624792,0.05,3.0692375,1.2415782,7.8,2,2451116
135,2,3.1044207,3.1468585,0.1329195,6.1,3.061983,1.0685831,7.85,3,2542913
136,2,3.07128,3.0802274,4.6547627,0.0031974476,3.0623329,3.1921492,6.9,3,2673183
137,2,2.9922786,2.8883998,-2.1106515,1.75,3.0961573,-1.0207288,3.8,3,2785828
138,2,2.9716923,2.9920752,-4.29615,0.05,2.9513094,-4.294167,1.95,3,2837996
139,2,3.0299206,3.0049584,-3.3952372,3.728639,3.054883,-4.203607,5.95,3,2838541
140,2,3.1207187,3.1522667,-1.5952374,4.9451513,3.0891707,-2.897927,6.75,3,2972918
141,2,2.9312744,2.8486564,-1.2952373,1.0712613,3.0138927,-3.8977163,4.0,3,3016562
142,2,3.070159,3.0764537,4.7047625,0.015549975,3.0638645,4.2815843,0.55,3,3035165
143,2,3.037255,3.0438886,0.99112594,0.05,3.0306218,0.94089735,0.6,3,3051468
144,2,3.1186693,3.1487923,-0.7789037,4.55,3.0885463,-0.94223017,6.7,3,3156196
145,2,3.0994418,3.1220675,2.9467773,0.65,3.0768163,2.8923454,1.25,3,3199418
146,2,2.8791,2.8992648,-5.240442,1.95,2.8589354,-5.5129266,2.5,3,3202863
147,2,3.0636559,2.9762003,-1.0221432,2.4,3.1511114,-2.2792823,5.6,3,3277769
148,2,2.9747503,2.9159303,-0.24523732,0.003310762,3.0335703,0.9047627,1.2607198,3,3281007
149,2,3.1147144,3.129201,2.0595868,5.35,3.1002276,1.9823872,7.55,3,3312570
